Correlation,Centrality,Ground Truth
0.17820597658297382,degree_centrality,importance
0.20539962879018894,degree_centrality,doctypebranch
0.3149559761768589,in_degree_centrality,importance
0.25259663842381774,in_degree_centrality,doctypebranch
-0.09940491034922971,out_degree_centrality,importance
-0.0058576347817303615,out_degree_centrality,doctypebranch
0.002457551684805294,betweenness_centrality,importance
-0.002166724564695131,betweenness_centrality,doctypebranch
0.3135006838113798,closeness_centrality,importance
0.2513037228215636,closeness_centrality,doctypebranch
0.17803515738962591,core_number,importance
0.2003312730345531,core_number,doctypebranch
0.3149559761768589,relative_in_degree_centrality,importance
0.25259663842381774,relative_in_degree_centrality,doctypebranch
0.3112528223933026,eigenvector_centrality,importance
0.24931639328226654,eigenvector_centrality,doctypebranch
0.3170232617363122,pagerank,importance
0.255686695896566,pagerank,doctypebranch
-0.0813362412012832,hits_hub,importance
-0.005631415807557845,hits_hub,doctypebranch
0.12297385427090343,hits_authority,importance
0.061355742844883605,hits_authority,doctypebranch
0.31333962217620664,harmonic_centrality,importance
0.25115945829930025,harmonic_centrality,doctypebranch
0.3311994184435374,disruption,importance
0.23558734351573382,disruption,doctypebranch
0.31696901702275154,composite,importance
0.25646156859042435,composite,doctypebranch
